iter	RMSE
0	0.9313847095
1	0.8762190012
2	0.8274112198
3	0.785010834
4	0.7492427695
5	0.7169252384
6	0.6808979872
7	0.6524008748
8	0.6272596944
9	0.6040592381
10	0.5789404448
11	0.5550995327
12	0.5354619672
13	0.5146049729
14	0.4965198429
15	0.4804127246
16	0.464947625
17	0.4502423788
18	0.434050961
19	0.4208927425
20	0.4063903486
21	0.3941531367
22	0.3813196065
23	0.3708148913
24	0.3619220182
25	0.3526492162
26	0.3430120159
27	0.3369719884
28	0.3295531153
29	0.32146035
30	0.314252608
31	0.3071429334
32	0.3009586998
33	0.2942327925
34	0.2881467088
35	0.2835037984
36	0.2792155779
37	0.2719175135
38	0.267083185
39	0.2598117885
40	0.2538726627
41	0.2504490938
42	0.2467904039
43	0.2425572139
44	0.2387799169
45	0.236075212
46	0.231322113
47	0.2258441609
48	0.2197805997
49	0.2158433231
50	0.2135563361
51	0.2093373855
52	0.205985343
53	0.2032142337
54	0.2009529361
55	0.1974536123
56	0.1948741373
57	0.1929590294
58	0.1883487085
59	0.1841188695
60	0.1814051858
61	0.178417368
62	0.1755501388
63	0.1740380352
64	0.171157263
65	0.1701214642
66	0.1681262549
67	0.1656619136
68	0.1634738289
69	0.1609190779
70	0.1588492771
71	0.1574253562
72	0.1554115876
73	0.153165307
74	0.1515624611
75	0.1499268039
76	0.1479791128
77	0.1454876418
78	0.1437128133
79	0.1420670645
80	0.1403338355
81	0.1389771987
82	0.1370461327
83	0.1353716596
84	0.133924251
85	0.1321561632
86	0.1308286324
87	0.129223069
88	0.1282066539
89	0.126901014
90	0.1258483191
91	0.1241923678
92	0.1229463185
93	0.1218697406
94	0.120921713
95	0.1198912728
96	0.1190593237
97	0.1180103724
98	0.1166899851
99	0.1156588681
100	0.1143849496
101	0.1132853136
102	0.1122690904
103	0.1114637372
104	0.1105128554
105	0.1094458806
106	0.108354401
107	0.1073650187
108	0.1066888822
109	0.1059434829
110	0.1049700504
111	0.1041639943
112	0.103371815
113	0.1022997527
114	0.1016363186
115	0.1009492811
116	0.1000923215
117	0.09906264859
118	0.09832591806
119	0.09745695562
120	0.09680523319
121	0.09594651284
122	0.09526313032
123	0.09468133112
124	0.0942781417
125	0.09380631288
126	0.09333051691
127	0.09279099668
128	0.09236028654
129	0.09199814562
130	0.09102313557
131	0.09032463937
132	0.08989468401
133	0.08936253419
134	0.0887268157
135	0.08808309485
136	0.08757929894
137	0.08718811528
138	0.0867183777
139	0.08634950908
140	0.08600256176
141	0.08555101304
142	0.0850976063
143	0.08467730353
144	0.08433329233
145	0.08355142345
146	0.0828912312
147	0.0822278107
148	0.08167437091
149	0.08135385711
150	0.08105600698
151	0.08051864645
152	0.080274641
153	0.08001488822
154	0.07953135324
155	0.07908984134
156	0.07862653169
157	0.07840724834
158	0.07800762332
159	0.07758487555
160	0.07722435912
161	0.07676747271
162	0.07651839398
163	0.07629957475
164	0.07607924022
165	0.07570478516
166	0.07551420199
167	0.07522727793
168	0.07488615268
169	0.07457230666
170	0.07412791968
171	0.07352096846
172	0.07334806976
173	0.07316899181
174	0.07289277519
